1,create,を創り出す、を引き起こす
2,increase,増加する、を増やす
3,improve,を向上させる、よくなる
4,mean,を意味する、するつもりである
5,own,を所有している、事実や罪などを認める
6,include,を含む
7,consider,を見なす、について考える
8,allow,を許す、を与える、考慮に入れる
9,suggest,を提案する、を暗示する
10,produce,を生産する、を取り出す
11,decide,を決める、に決着をつける
12,offer,を提供する、申し出る
13,require,を要求する、を必要とする
14,share,を共有する、を分担する
15,store,を保存する、を蓄える
16,tend,傾向がある、を世話する
17,concern,心配している、関係する、に関連する
18,describe,について述べる、を説明する
19,involve,を関与させる、を伴う
20,reduce,を減らす、を変える
21,design,を設計する、を計画する
22,force,に強いる、を強要する
23,limit,を制限する、を規制する
24,bear,に耐える、を負う、を産む、を抱く
25,affect,に影響を及ぼす、を感動させる
26,deal,を処理する、を商う、を分配する
27,avoid,を避ける
28,relate,を関連づける、関連する
29,realize,に気づく、を実現する
30,encourage,を奨励する、を励ます
31,compare,を比較する、をたとえる
32,measure,を測る、を評価する
33,exist,存在する、生存する
34,mark,に印をつける、を示す、に汚れをつける
35,challenge,に異議を唱える、に挑む
36,depend,頼る、～次第である
37,object,反対する、と言って反対する
38,demand,を要求する
39,found,を設立する、を築く
40,complete,を完成させる、仕上げる
41,idea,考え、思いつき、理解、見解、概念
42,accord,一致、合意、協定
43,company,会社、仲間、一緒にいること、一座
44,interest,興味、利子、利害
45,research,研究、調査
46,cause,原因、理由、大義
47,reason,理由、根拠、理性、分別
48,effect,影響、効果、結果
49,influence,影響（力）
50,situation,状況、立場
51,environment,環境
52,skill,技能、熟練
53,matter,事柄、問題、事態、困難、物質
54,view,見解、見方、眺め
55,value,価値、価格、評価、価値観
56,species,種、種類
57,thought,考え、思考
58,knowledge,知識、知っていること、認識
59,memory,記憶（力）、思い出
60,practice,実践、実行、慣習、練習
61,benefit,利益、恩恵、給付金
62,theory,学説、理論、原理、推測
63,issue,問題（点）、発行、発表
64,experiment,実験
65,article,記事、条項、品物
66,focus,焦点、関心の的
67,subject,話題、科目、主題、被験者
68,project,計画、事業、研究計画
69,quality,質、特質
70,role,役割、役
71,term,用語、条件、間柄、学期
72,statement,声明、主張、明細書
73,material,材料、素材、資料、生地
74,evidence,証拠
75,source,源、根源、出所、情報源
76,community,社会、地域社会、地域住民
77,technology,科学技術、応用技術
78,culture,文化、教養、耕作、養殖、培養
79,appropriate,適切な
80,likely,ありそうな
81,possible,可能な、可能性のある
82,individual,個々の、個人の
83,public,公の、公衆の、公開の
84,common,共通の、普通の、一般の
85,certain,確信して、確かな、ある、一定の
86,similar,似ている、類似した、同様の
87,recent,最近の
88,major,主要な、大きい、長調の
89,patient,忍耐強い、勤勉な
90,particular,特定の、特別の、やかましい
91,physical,身体の、物質的な、物理学の
92,various,さまざまな、いくつかの
93,available,手に入る、利用できる、手が空いている
94,native,出生地の、原産の、生得の
95,political,政治（上）の
96,due,予定された、期日で、しかるべき
97,blank,空白の、無表情な、がらんとした
98,ancient,古代の、昔からの
99,correct,正しい、適切な
100,despite,～にもかかわらず
101,notice,に気づく
102,refer,言及する、関連する、参照する
103,approach,に近づく、に取り組む
104,wonder,かなと思う、に驚く
105,imagine,想像する、推測する
106,recognize,を識別できる、を認める
107,solve,を解く、解明する、を解決する
108,occur,起こる、心に浮かぶ、現れる
109,argue,と主張する、議論する
110,claim,と主張する、を要求する
111,express,を表す、述べる
112,draw,を引き出す、を引く、を描く、近づく
113,waste,を浪費する、無駄にする
114,advance,を進歩させる、を進める、進歩する、進む
115,spread,を広める、広がる
