1,vital,"にとって非常に重要な, 生命の"
2,vivid,"生き生きとした, 鮮やかな"
3,revive,"を生き返らせる, 生き返る"
4,essential,"にとって重要な, 必要不可欠な, 本質的な"
5,indispensable,"にとって重要な, 必要不可欠な"
6,crucial,"決定的な, 極めて重要な"
7,significance,重要性
8,consequence,"結果, 重要さ"
9,matter,"事柄, 問題, 重要である"
10,count,"を数える, 重要である"
11,make a difference,重要である
12,trivial,"ささいな, ありふれた"
13,trifle,"ささいな事, くだらない事"
14,common,"共通の, よくある, 一般的な, ありふれた"
15,ordinary,"普通の, 通常の, ありふれた"
16,familiar,"によく知られた, に精通している, 親しい"
17,emphasize,を強調する
18,stress,"を強調する, ストレス, 重点, 強調"
19,neglect,"をうっかり怠る, を無視する"
20,ignore,"を無視する, を知らないふりをする"
21,eminent,著名な
22,prominent,"目立った, 有名な"
23,primary,"第1の, 主要な"
24,tiny,ちっぽけな
25,slight,"わずかな, 取るに足らない"
26,character,"性格, 人格, 特徴, 登場人物"
27,feature,"目立った特徴, 顔立ち, を特集する, 呼び物にする"
28,trait,"特徴, 特色"
29,typical,"典型的な, らしい"
30,unique,"に特有の, 独自の, 唯一の"
31,peculiar,"に特有の, 風変わりな"
32,particular,"特定の, 特別の"
33,general,"全般的な, 一般的な"
34,specify,を特定する
35,distinguish,"を区別する, 見分ける"
36,define,"を定義する, 明確にする"
37,vague,"曖昧な, 漠然とした"
38,obscure,"不明瞭な, ぼやけた, 世に知られていない"
39,ambiguous,"曖昧な, どちらともとれる"
40,obvious,明白な
41,evident,明白な
42,apparent,"見たところの, 明白な"
43,respect,"尊敬, 尊重, 点, 事項"
44,aspect,"側面, 様相, 点"
45,detail,詳細
46,precise,正確な
47,accurate,正確な
48,structure,"構造, 構成, 骨格"
49,construct,"を建設する, 組み立てる"
50,destroy,"を破壊する, 滅ぼす"
51,architecture,"建築, 建築学"
52,constitute,"を構成する, 占める, 設立する"
53,institute,"法律・制度を制定する, 協会, 研究所"
54,substitute,"を代用する, 代用品, 代理人"
55,stable,安定した
56,establish,"を設立する, 確立する"
57,subject,"科目, 主題, 家来, 臣民"
58,subdue,"を征服する, 支配する, 抑える"
59,submit,"に服従する, 身を任せる, を服従させる, を提出する"
60,submission,"服従, 提出"
61,fundamental,"根本的な, 基礎的な, 重要な"
62,fund,"資金, 基金"
63,found,を設立する
64,foundation,"基盤, 基礎, 土台"
65,profound,"深い, 深遠な"
66,base,"土台, 基礎"
67,basis,基礎
68,ground,"運動場, 地面, 根拠, 理由"
69,superficial,うわべの
70,shallow,"浅い, 浅はかな, うわべの"
71,superb,"すばらしい, 見事な"
72,supervise,"を監視する, 指揮する"
73,superstition,迷信
74,core,"中心, 核心, 果物の芯"
75,surface,"表面, 表層"
76,internal,"内面の, 内側の"
77,external,外側の
78,concentrate,"に集中する, をに集中させる"
