1,change,変える
2,learn,学ぶ
3,help,手伝う，助ける
4,need,必要とする
5,live,住んでいる
6,ask,頼む
7,enjoy,楽しむ
8,wait,待つ
9,cook,調理する
10,talk,話す (t-)
11,speak,話す (s-)
12,meet,会う
13,mean,意味する
14,buy,買う
15,travel,旅行する
16,build,建てる
17,close,閉じる
18,stay,滞在する
19,move,動かす
20,plan,計画する
21,write,書く
22,listen,聞く (l-)
23,happen,起こる，生じる
24,lose,失う，なくす
25,stand,立つ，立っている
26,grow,育つ
27,sound,〜のように聞こえる
28,rain,雨が降る
29,worry,心配する
30,teach,教える
31,hope,望む
32,hold,持つ，抱える
33,life,一生，生涯
34,thing,事
35,country,国
36,example,例
37,place,場所
38,part,部分
39,trip,旅行
40,problem,問題
41,question,質問
42,color,色
43,point,要点
44,language,言語
45,word,単語，語
46,health,健康
47,report,報告書
48,minute,分
49,reason,理由
50,line,路線
51,month,（暦の）月
52,week,週
53,date,日にち
54,event,行事
55,future,未来，将来
56,design,デザイン
57,end,終わり
58,computer,コンピューター
59,plant,植物
60,art,美術
61,chance,機会，好機
62,history,歴史
63,festival,祭り
64,season,季節
65,fun,楽しみ
66,host,主人
67,message,伝言
68,step,段階
69,popular,人気のある
70,most,大部分の
71,different,違う
72,such,そのような
73,last,この前の
74,same,同じ
75,great,すばらしい (g-)
76,open,開いている
77,own,自分自身の
78,kind,親切な
79,difficult,難しい
80,enough,十分な
81,special,特別な
82,famous,有名な
83,bad,悪い
84,short,短い
85,useful,役に立つ
86,afraid,恐れて
87,favorite,お気に入りの
88,expensive,高価な
89,carry,運ぶ
90,break,壊れる，割れる
91,arrive,到着する
92,fall,落ちる
93,miss,がいなくてさみしく思う
94,cover,覆う
95,catch,捕まえる
96,save,救う
97,check,点検する
98,introduce,紹介する
99,join,加わる
100,clean,きれいにする
101,answer,答える
102,throw,投げる
103,invite,招待する
104,pick,摘み取る
105,die,死ぬ
106,return,戻る
107,fly,飛ぶ
108,cut,切る
109,hit,襲う，打つ
110,excuse,許す
111,wash,洗う
112,cry,叫ぶ
113,borrow,借りる
114,kill,殺す
115,push,押す
116,climb,登る
117,laugh,笑う
118,smile,ほほえむ
119,hurry,急ぐ
120,cheer,元気づける
121,volunteer,ボランティア
122,side,側
123,front,前，正面
124,concert,コンサート
125,fire,火事
126,village,村
127,lesson,レッスン
128,light,明かり
129,Internet,インターネット
130,weather,天気
131,voice,声
132,piece,１つ，１枚
133,goal,目標
134,speech,スピーチ
135,fan,ファン
136,dream,夢
137,mistake,間違い
138,meter,メートル
139,land,土地
140,hundred,百
141,thousand,千
142,million,百万
143,medicine,薬
144,uniform,制服
145,heat,暑さ
146,evening,夕方
147,noon,正午
148,holiday,休日，祝日
149,course,講座
150,rule,ルール
151,forest,森林
152,farm,農場
153,treasure,大切な物
154,hole,穴
155,cloud,雲
156,phone,電話
157,sorry,すまなく思って
158,careful,注意深い
159,wonderful,すばらしい (w-)
160,heavy,重い
161,sick,病気の
162,dear,親愛なる
163,glad,うれしい
164,dark,暗い
165,sad,悲しい
166,cute,かわいい
167,free,暇な
168,foreign,外国の
169,low,低い
170,safe,安全な
171,angry,怒った
172,lucky,幸運な
173,bright,輝いて
174,soft,柔らかい
175,loud,（音が）大きい
176,even,〜でさえ
177,back,戻って
178,still,まだ，なお
179,early,早く
180,soon,すぐに，まもなく
181,away,離れて
182,almost,ほとんど，ほぼ
183,together,一緒に
184,maybe,もしかすると
185,once,１度
186,else,ほかに
187,ago,〜前に
188,straight,まっすぐに
189,slowly,ゆっくりと
190,suddenly,突然，急に
191,until,…するまで
192,since,…したときから
193,around,〜のあちこちを
194,over,〜を超えて
195,without,〜なしに
196,through,〜の間じゅう
197,between,〜の間に (b-)
198,during,〜の間に (d-)
199,behind,〜の後ろに
200,along,〜に沿って
201,come from,〜から来ている
202,come true,実現する
203,cut off,〜を切り取る
204,do one’s best,全力を尽くす
205,get off,〜を降りる
206,get on,〜に乗る
207,get to,〜に到着する
208,go through,〜を経験する
209,grow up,成長する，大人になる
