1,last,続く、持続する
2,affect,影響を及ぼす、感動させる
3,claim,主張する、要求する
4,ship,出荷する、輸送する
5,issue,問題、発行、発表
6,purchase,購入する
7,occur,起こる、心に浮かぶ
8,deal,処理する、商う、分配する
9,consume,消費する、食べる、飲む
10,present,提示する、進呈する
11,fire,解雇する
12,regard,見なす、見る、評価する
13,fine,罰金を科す
14,transfer,移す、伝える、乗り換える
15,decline,減少する、衰退する、断る
16,eliminate,取り除く
17,indicate,指し示す、述べる
18,ensure,確実にする、守る
19,expand,拡大する、詳説する
20,address,対処する、演説する
21,identify,特定する、同一視する
22,construct,建設する、構成する
23,invest,投資する、与える
24,obtain,得る
25,struggle,闘い、懸命の努力
26,counter,反論する、反対する
27,associate,結び付けて考える、交際する
28,register,記録する、登録する
29,reveal,明らかにする、見せる
30,species,種、種類
31,diet,日常の食べ物、療養食
32,site,用地、場所、サイト
33,cell,細胞、独房、電池
34,facility,施設、設備、機能
35,practice,実践、習慣、練習
36,resident,居住者、滞在者
37,option,選択、選択肢
38,organ,器官、臓器、組織
39,critic,批判する人、批評家
40,region,地域、領域、部位
41,tax,税金
42,access,利用、入手、接近
43,virus,ウイルス、病原体
44,bill,請求書、勘定書、法案
45,evidence,証拠
46,attempt,試みる、企てる
47,account,説明、勘定、口座
48,theory,学説、理論、原理
49,factor,要因、要素
50,stock,在庫品、蓄え、株
51,chemical,化学の、化学的な
52,media,マスメディア
53,income,収入、所得
54,supply,供給する
55,shortage,不足、欠如
56,poverty,貧困、欠乏
57,criminal,犯人、犯罪者
58,budget,予算、経費
59,authority,当局、権威、権限
60,genome,ゲノム
61,atmosphere,大気、雰囲気
62,aid,援助する、助ける
63,measure,措置、程度、基準
64,subject,話題、科目、被験者
65,decade,10年間
66,weapon,兵器、武器
67,nutrient,栄養分
68,expense,経費、費用
69,structure,構造、体系、構造物
70,adolescent,青年
71,procedure,手順、手続き
72,minimum,最小限度
73,fuel,燃料
74,resource,資源、資金、才覚
75,regulation,規則、規制
76,contract,契約、協定
77,insurance,保険、保険料
78,employment,雇用、職
79,ban,禁止する、締め出す
80,vehicle,車、乗り物、伝達手段
81,soil,土地、土壌
82,cargo,積荷、貨物
83,aircraft,航空機、飛行機
84,current,現在の、現代の
85,political,政治の
86,significant,重要な、重大な、意義深い
87,effective,効果的な、有効な
88,military,軍の、軍事の
89,due,予定された、支払期日で
90,essential,必要不可欠な、本質的な
91,illegal,違法の、非合法の
