1,agree,賛成する、意見が一致する、合う
2,oppose,反対する
3,advise,忠告する
4,tip,助言、ヒント、チップ、先、先端
5,discuss,話し合う、議論する、話題に出す
6,blame,責任があるとする
7,argue,主張する、言い争う
8,claim,主張する、要求する、要求
9,complain,文句を言う、苦情を言う、訴える
10,offer,申し出る、申し出、値引き
11,suggest,示唆する、提案する
12,recommend,推薦する、勧める
13,grateful,感謝している
14,apologize,謝る
15,excuse,言い訳、許す、免除する
16,celebrate,祝う、挙行する、執り行う
17,congratulate,祝う、お祝いを述べる
18,admire,称賛する、感心する
19,impress,感銘を与える、感心させる
20,award,賞、授与する
21,explain,説明する
22,describe,説明する
23,communicate,意思の疎通をはかる、伝える
24,express,表現する、急行
25,promise,約束、約束する
26,information,情報
27,technology,技術
28,research,研究、研究する
29,material,材料、生地、資料、教材、物質的な、重大な
30,artificial,人工的な
31,electric,電気の、電動の
32,invent,発明する、でっち上げる
33,discover,発見する、知る、気がつく、出会う
34,develop,発達する、発達させる、開発する、発展させる、かかる
35,skill,技術、力
36,ability,能力
37,talent,才能
38,effort,努力
39,practice,練習、実践、慣習、練習する、実践する
40,achieve,達成する
41,manage,何とかしてする、経営する、管理する
42,improve,改善する、磨く、よくなる
43,produce,生産する、産出する、取り出す、農作物
44,create,創造する、引き起こす
45,establish,確立する、定着させる、設立する
46,form,形成する、形態、書式
47,save,省く、貯金する、救う、除いて
48,medicine,薬、医学
49,patient,患者、忍耐強い
50,condition,状態、容態、状況、条件
51,medical,医療の、医学の
52,stress,ストレス、強調、強調する
53,suffer,苦しむ、経験する
54,exercise,運動、練習、運動する、行使する
55,breathe,呼吸する、息をする
56,thirsty,のどが渇いた、切望して
57,physical,身体的な、物理的な
58,fever,熱、熱狂
59,strength,体力、力
60,tear,涙、引き裂く
61,taste,味がする、味をみる、味、好み
62,rule,規則、支配する
63,role,役割
64,habit,習慣、癖
65,custom,習慣、税関、関税
66,tradition,伝統
67,society,社会、同席すること、協会
68,law,法律、国法、法律、法則
69,ancestor,祖先
70,population,人口、個体数、住民
71,native,母国の、その土地の、生まれの人
72,abroad,海外へ、海外で
73,local,その土地の、地元の、地方の、地元の人
74,survey,調査、調査する
75,value,価値、価値観、お買い得品、重んじる
76,treasure,財宝、宝、大事な物、大事にする
77,fashion,流行、流儀、やり方、作る
78,public,大衆、公共の、公の
79,evidence,証拠
80,vote,投票、投票する
81,government,政府
82,nation,国家、国民
83,capital,首都、資本、重大な、死に値する
84,state,州、状態、国家、述べる
85,political,政治的な、政治の
86,price,価格、物価、代償
87,sum,金額、合計、計算、要約する
88,budget,予算、安い
89,fee,料金、謝礼
90,fare,運賃
91,bill,勘定、請求書、紙幣、法案
92,trade,貿易、業、商売、交換する
93,wealth,富、財産、豊富な
94,economy,経済、節約
95,cost,を要する、かかる、犠牲にする、費用、犠牲
96,company,会社、一緒にいること、仲間、来客
97,task,仕事
98,earn,稼ぐ、もうける、得る
99,hurt,痛む、傷つける
100,injure,痛める、けがさせる
101,damage,損害を与える、損害、被害、賠償金
102,destroy,破壊する、殺す、全滅させる
103,ruin,台無しにする、破滅させる、廃墟、荒廃
104,danger,危険
105,neighbor,近所の人、隣の人
106,audience,聴衆、観客
107,crowd,群衆
108,author,著者、作家
109,staff,職員、従業員
110,clerk,店員、事務員、社員
111,customer,客
112,passenger,乗客
113,elderly,年配の、年配の人々
114,female,女性の、雌の、女性、雌
115,head,向かう、率いる
116,follow,後について行く、続く、に従う
117,wander,歩き回る、さまよう
118,travel,旅行する、移動する、進む
119,pass,通り過ぎる、抜く、受かる、渡す、過ぎる、通行証
120,likely,しそうだ、可能性が高い、おそらく
121,natural,当然の、自然の、生まれながらの
122,certain,確かな、ある
123,probably,おそらく
124,face,直面する、向きである、顔、体面、文字盤
125,avoid,避ける
126,solve,解決する
127,trouble,問題、ごたごた、困らせる
128,issue,問題、号、発行する
129,cheer,声援を送る、励ます、声援、励まし、乾杯
130,encourage,促す、奨励する、励ます
131,support,支持する、養う、立証する、支持、支援
132,prevent,妨げる、予防する
133,deny,否定する、給えない
134,enable,可能にする
135,succeed,成功する、継ぐ
136,miss,逃す、休む、恋しく思う
137,fail,失敗する、できない、落ちる、役に立たない
138,mistake,間違い、間違える
139,check,調べる、阻止する、小切手、勘定書、検査、点検、抑制
140,hide,隠す、隠れる
141,draw,描く、引く、引っ張る、集める
142,join,加わる、つなぐ、とともにする、参加する
143,throw,投げる、捨てる、催す、投げること
144,operate,操作する、手術する、作動する、運営される
145,repair,修理する、修復する、修理、修復
146,sew,縫う、縫いつける
147,raise,上げる、育てる、集める、提起する、賃上げ、昇給
148,serve,出す、役立つ、役立つ
149,pour,注ぐ、降りそそぐ
150,spill,こぼす、流出
151,pretend,ふりをする
152,behave,ふるまう
153,bear,耐える、持つ、運ぶ、産む
154,explore,探検する、探索する、探る
155,happen,起こる、偶然する
156,appear,現れる、のように思える
157,remain,のままでいる、残る
158,survive,生き残る、生き延びる、後も存続する
159,belong,所属している
160,represent,代表する、を表す、表現する
161,base,基礎を置く、基礎、基盤、基地
162,include,含む
163,contain,含む、抑える
164,own,自分自身の、自分自身のもの、所有している
165,share,共有する、伝える、共有、分け前
166,collect,集める、徴収する、回収する
167,gather,集める、集まる
168,history,歴史、履歴、前歴、病歴
169,subject,科目、話題、被験者、を受けやすい
170,education,教育
171,knowledge,知識、知っていること
172,uniform,制服、同一の、一定の
173,grade,学年、等級、成績
174,senior,最上級生、高齢者の、上位の
175,graduate,卒業する
176,decide,決定する、決心する、決める
177,judge,判断する、裁判官、審判
178,quit,やめる
179,retire,引退する、退職する
180,review,再検討、批評、復習
181,choose,選ぶ、選ぶ
182,imagine,想像する
183,guess,推測する、推測
184,expect,予期する、期待する、身ごもっている
185,predict,予測する
186,remember,覚えている、覚えている、よろしく伝える
187,remind,思い出させる、するように念を押す
188,realize,理解する、実現する
189,appreciate,理解する、よさがわかる、感謝する
190,accept,受け入れる
